Año,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,,,,,,,
Fecha,28/01/05,12/04/05,28/07/05,11/10/05,12/01/06,07/04/06,04/07/06,31/08/06,03/02/07,13/05/07,20/07/07,14/12/07,07/02/08,21/04/08,14/07/08,13/10/08,02/03/09,18/05/09,25/08/09,17/11/09,08/03/10,24/05/10,09/08/10,22/11/10,28/02/11,30/05/11,12/09/11,05/12/11,07/02/12,28/05/12,20/08/12,03/12/12,11/03/13,27/05/13,10/07/13,19/11/13,18/03/14,10/06/14,01/09/14,24/11/14,11/03/15,25/05/15,31/08/15,30/11/15,07/03/16,06/06/16,29/08/16,28/11/16,13/03/17,29/05/17,28/08/17,04/12/17,12/03/18,04/06/18,20/08/18,20/11/18,11/03/19,27/05/19,26/08/19,25/11/19,17/03/20,15/06/20,01/09/20,30/11/20,08/03/21,,,,,,,
pH    In situ,7.60,7.05,7.40,6.65,7.79,6.83,7.37,6.51,7.51,NA,6.67,6.22,6.23,6.99,7.30,7.40,7.40,6.80,6.90,7.00,6.90,7.00,7.00,7.00,7.00,7.00,7.00,7.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
Temperatura del Agua ,13.50,13.00,16.00,16.00,12.50,18.00,19.00,17.50,14.00,22.00,18.00,15.00,17.00,18.00,17.90,16.00,10.00,18.00,17.00,15.00,15.00,19.00,15.00,12.00,17.00,20.00,15.00,12.00,14.00,17.00,12.00,13.00,15.00,16.00,15.00,14.00,15.00,14.00,13.00,15.00,13.00,13.00,15.00,15.00,13.00,12.00,12.00,14.00,14.00,15.00,16.00,12.00,15.00,13.00,16.00,12.00,13.00,18.00,19.00,8.00,16.00,12.00,16.00,12.00,15.00,,,,,,,
Temperatura del ambiente ,NA,NA,NA,NA,25.70,24.00,22.00,31.90,19.00,22.00,23.00,20.00,23.00,25.00,25.00,21.00,11.00,19.00,25.00,17.00,23.00,26.00,25.00,24.00,28.00,27.00,21.00,23.00,18.00,28.00,24.00,24.00,18.00,20.00,26.00,21.00,26.00,22.00,26.00,22.00,17.00,26.00,23.00,23.00,24.00,21.00,25.00,22.00,18.00,24.00,24.00,22.00,18.00,26.00,24.00,23.00,16.00,28.00,30.00,24.00,25.00,24.00,27.00,17.00,18.00,,,,,,,
Materia Flotante,ausente,ausente,ausente,ausente,NA,NA,NA,NA,NA,NA,NA,NA,ausente,NA,NA,NA,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,44.30,ausente,ausente,ausente,ausente,,,,,,,
Olor,NA,ausente,ausente,ausente,NA,Inoloro,Inoloro,Inoloro,Inoloro,Inoloro,Inoloro,Inoloro,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,,,,,,,
Cloro residual,0.00,0.00,N/D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
Conductividad ,N/D,NA,N/D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
pH ,NA,7.01,7.36,7.31,7.64,7.53,7.61,6.51,7.51,7.27,7.27,7.51,7.60,7.62,7.30,7.31,7.49,7.01,7.33,6.96,7.52,7.44,7.45,7.23,7.07,7.36,6.74,6.24,7.06,7.47,7.54,7.60,7.68,7.61,7.50,7.16,7.47,7.48,7.51,7.02,7.32,7.41,7.30,7.47,7.50,7.18,7.64,7.78,7.71,7.75,7.57,7.77,7.85,7.38,7.22,6.95,7.98,7.96,7.97,7.72,8.20,7.98,7.89,7.47,7.03,,,,,,,
Turbiedad UTN,2.69,0.55,2.26,3.28,0.43,0.93,1.11,4.79,0.68,0.26,1.06,1.98,0.98,0.67,1.16,2.39,1.34,3.81,8.17,2.28,1.44,0.40,0.99,0.87,0.43,0.98,1.38,5.50,1.09,0.46,0.86,1.28,0.67,5.76,1.52,1.73,1.18,2.05,1.08,0.68,0.93,1.60,2.37,0.68,0.86,0.48,2.62,2.33,2.33,1.02,1.63,0.33,0.50,0.42,6.45,1.01,0.91,0.95,2.04,1.54,0.54,0.81,0.89,0.56,0.44,,,,,,,
Color,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,5.00,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,5.00,2.50,2.50,2.50,,,,,,,
Olor,inodoro,NA,ausente,ausente,inodoro,NA,Inoloro,Inoloro,Inoloro,Inoloro,Inoloro,NA,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,,,,,,,
Conductividad (micro s/cm),495.00,407.00,35.60,27.30,34.40,38.00,29.90,30.80,29.40,32.50,28.70,34.30,34.00,39.20,22.70,24.40,35.60,35.80,30.90,29.50,31.80,34.00,26.50,32.40,36.20,38.10,30.80,37.90,43.00,35.50,27.93,37.00,42.90,44.40,30.10,34.10,40.10,38.40,33.20,36.80,41.50,38.90,35.30,37.30,44.10,40.90,29.50,35.90,43.50,44.90,33.40,38.80,43.30,47.80,34.70,35.90,44.20,46.50,31.60,31.20,44.30,46.70,35.30,38.90,41.60,,,,,,,
Solidos disueltos Totales (SDT),21.50,16.90,17.90,13.90,17.10,18.90,14.90,13.00,14.70,16.20,14.40,17.10,20.40,23.60,13.70,14.60,21.30,21.40,18.50,17.60,19.00,20.40,15.80,19.30,21.60,22.80,15.00,19..0,21.00,16.00,14.00,18.00,21.00,22.00,15.00,17.00,20.00,19.00,16.00,18.00,20.00,19.00,17.00,18.00,22.00,22.00,14.00,18.00,21.00,22.00,16.00,19.00,21.00,23.00,17.00,19.00,22.00,23.00,15.00,15.00,22.00,23.00,17.00,19.00,20.00,,,,,,,
Acidez total (como CaCO3),5.50,10.00,2.00,2.57,2.55,3.08,3.46,3.82,5.27,20.31,3.26,3.60,2.82,4.62,3.84,3.33,4.40,4.46,6.30,15.96,10.25,11.64,10.60,12.34,15.74,8.76,11.74,16.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.00,6.50,10.00,7.00,2.98,,,,,,,
Alcalinidad total (como CaCO3),2.00,19.50,4.99,22.80,17.08,17.84,19.38,12.81,15.35,3.22,14.76,20.15,16.15,18.27,12.26,13.90,18.36,16.88,14.89,12.76,16.78,17.51,12.61,17.82,18.11,20.88,14.85,19.00,16.70,20.59,16.11,19.60,20.80,20.60,16.72,22.35,18.40,20.07,13.45,20.30,17.51,19.89,19.50,21.20,19.75,22.90,14.85,17.20,20.20,21.30,16.85,24.00,20.60,18.95,17.05,16.30,25.70,21.35,17.15,18.80,27.25,24.80,27.20,22.50,19.25,,,,,,,
Cloruros (como ClNA),5.86,2.85,3.16,3.74,2.29,3.43,2.52,2.44,0.00,0.47,N/D,2.40,0.23,N/D,N/D,0.78,0.12,0.96,0.34,0.67,0.64,0.33,0.76,0.58,0.50,2.00,0.44,0.93,2.01,3.45,3.21,2.38,1.60,3.33,2.02,1.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NA,NA,NA,NA,4.00,4.09,3.82,3.18,3.82,3.92,3.37,2.83,1.14,2.41,4.91,3.15,5.34,3.35,3.60,3.37,3.03,,,,,,,
Dureza total (como CaCO3),28.70,13.64,14.38,13.93,26.11,8.91,13.90,10.04,45.00,46.36,21.79,59.05,34.96,10.79,15.71,12.84,17.73,15.68,14.01,11.12,15.96,16.73,12.32,16.26,14.08,20.62,7.51,19.66,22.33,15.30,16.23,42.63,92.93,27.92,14.83,17.89,17.85,16.02,12.35,21.68,16.66,18.21,18.89,27.85,23.12,24.33,27.19,21.68,27.16,14.36,18.76,12.37,14.10,23.76,19.88,12.73,16.13,18.91,18.18,32.49,41.23,33.70,33.78,18.16,18.16,,,,,,,
Nitratos (como NNANO3),0.82,0.00,0.12,0.17,0.44,0.57,0.43,0.44,0.31,0.43,0.15,0.54,0.17,0.52,0.16,0.19,0.69,0.30,0.18,0.46,0.32,0.37,0.39,0.25,0.55,0.28,0.27,0.33,0.40,0.28,0.33,2.20,1.04,0.89,0.28,0.28,0.30,0.40,0.18,0.27,0.48,0.24,0.29,0.24,0.26,0.38,0.13,0.37,0.61,0.44,0.39,0.45,0.44,0.14,0.41,0.11,0.72,0.18,0.22,0.11,0.85,NA,0.35,0.33,1.14,,,,,,,
Nitritos (como NNANO2),N/D,0.02,0.04,N/D,N/D,0.03,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.08,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.01,0.01,0.00,0.01,0.01,0.01,0.00,0.01,NA,NA,0.00,0.01,0.01,0.00,0.00,0.01,0.01,0.01,0.07,0.05,0.24,0.01,0.00,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.00,,,,,,,
Fósforo total ( comoPO4 =),NA,NA,NA,NA,NA,NA,NA,NA,0.04,NA,NA,NA,N/D,N/D,A.16,0.16,0.21,0.26,0.18,0.19,0.22,0.17,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,0.10,0.13,0.10,0.04,0.04,,,,,,,
Sulfatos (SO4),2.03,1.24,1.41,0.77,0.02,0.13,0.14,0.54,4.17,5.27,5.53,4.47,2.09,2085.00,1.10,2.27,2.37,3.34,5.95,3.01,5.07,4.21,6.47,4.20,3.79,0.62,5.09,5.09,5.71,5.38,5.54,5.50,6.67,6.21,6.72,6.26,5.62,7.88,5.95,5.79,5.63,27.65,43.89,20.21,16.72,14.99,22.29,21.49,19.33,2.74,8.49,5.41,8.32,1.66,10.52,7.93,9.44,3.44,3.24,3.46,6.58,4.15,3.04,5.69,2.83,,,,,,,
Fluor (como FNA),1.32,0.13,0.25,0.01,0.44,0.25,0.14,0.14,0.15,0.12,0.12,0.47,0.40,0.40,0.35,0.39,0.15,0.22,0.31,0.15,0.27,0.26,0.03,0.03,0.25,0.26,0.27,0.27,0.47,0.25,0.24,0.25,0.25,0.37,0.27,0.23,NA,NA,0.42,0.58,0.26,0.51,0.52,0.05,0.21,0.47,0.49,0.29,0.47,0.32,0.56,0.78,0.47,0.53,0.30,0.52,0.25,0.30,0.37,0.43,0.54,0.66,0.68,0.64,0.66,,,,,,,
Sustancias activas al Azul de metileno (Detergentes),0.00,0.00,NA,N/D,0.09,NA,NA,N/D,0.05,0.15,NA,0.60,0.40,0.37,0.28,NA,0.12,0.13,0.12,0.25,0.12,0.14,0.10,0.15,NA,NA,0.15,0.15,0.14,0.13,0.14,0.14,0.12,0.12,0.10,0.10,NA,NA,0.13,0.15,0.14,0.18,0.12,0.14,0.07,0.13,0.13,0.13,0.13,0.09,0.13,0.12,8.32,0.13,0.11,0.11,0.52,0.36,NA,0.28,NA,NA,NA,0.29,NA,,,,,,,
Fenol como compuestos fenólicos,N/D,NA,0.01,N/D,0.03,NA,NA,0.05,0.03,NA,0.03,N/D,0.02,0.02,0.05,0.03,0.11,0.03,0.05,0.02,0.04,0.06,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.05,0.03,0.26,0.03,0.03,,,,,,,
Cadmio,N/D,NA,NA,N/D,N/D,N/D,NA,NA,NA,NA,NA,NA,NA,0.01,NA,0.03,NA,NA,N/D,0.03,N/D,N/D,N/D,N/D,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,NA,NA,NA,0.00,,,,,,,
Aluminio,0.24,NA,NA,NA,NA,A/R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
Plomo,N/D,NA,NA,0.03,N/D,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/D,0.10,N/D,N/D,N/D,N/D,0.01,0.01,N/D,N/D,0.01,0.01,NA,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,NA,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.04,0.01,0.01,,,,,,,
Cianuro ,N/D,NA,0.00,N/D,N/D,N/D,NA,NA,NA,NA,NA,N/D,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,NA,NA,,,,,,,
Cobre ,N/D,N/D,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.10,0.03,0.02,0.02,0.04,0.05,0.04,0.04,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.08,0.04,0.02,0.02,,,,,,,
Cromo ,N/D,N/D,0.04,N/D,N/D,N/D,NA,NA,NA,NA,NA,NA,NA,0.05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.03,0.06,0.04,0.01,0.05,0.02,NA,NA,NA,NA,NA,0.01,0.01,0.01,0.01,NA,NA,0.01,0.01,0.01,0.01,0.01,0.01,NA,NA,NA,NA,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.03,0.02,0.02,0.03,0.04,0.01,0.01,,,,,,,
Arsénico ,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,0.01,0.01,0.01,0.01,0.00,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,NA,NA,NA,NA,NA,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,,,,
 Manganeso,N/D,N/D,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/D,NA,NA,NA,NA,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,NA,NA,NA,NA,NA,0.01,0.01,0.01,0.01,0.01,0.01,NA,NA,NA,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,NA,NA,NA,,,,,,,
Zinc,N/D,NA,NA,0.06,0.37,N/D,NA,NA,NA,NA,NA,0.11,0.05,0.07,0.15,0.16,0.25,0.28,0.14,NA,NA,NA,0.05,0.10,0.05,0.11,0.11,0.05,0.05,0.05,0.05,0.05,0.05,0.09,0.05,0.05,0.05,0.06,0.07,0.06,0.06,0.05,0.07,0.05,0.05,0.05,0.14,0.05,0.04,0.08,0.05,0.08,0.05,0.05,0.13,0.05,0.40,NA,NA,0.06,0.05,0.09,0.05,0.05,NA,,,,,,,
Fierro,N/D,N/D,0.03,N/D,N/D,N/D,NA,NA,NA,NA,NA,N/D,0.05,0.05,0.05,0.04,0.04,0.03,0.10,0.06,0.07,0.05,0.07,0.05,0.06,0.07,0.06,0.07,0.05,0.05,0.06,0.06,0.05,0.10,0.00,0.09,0.07,0.10,0.07,0.05,0.10,0.06,0.09,0.06,0.04,0.07,0.09,0.08,0.06,0.07,0.09,0.05,0.05,0.06,0.09,0.05,0.13,0.11,0.11,0.10,0.08,0.20,0.07,0.03,0.03,,,,,,,
Coliformes totales,0.00,190.00,0.00,0.00,23.00,43.00,93.00,11.00,93.00,21.00,75.00,21.00,150.00,11.00,460.00,93.00,23.00,20.00,460.00,15.00,15.00,20.00,93.00,21.00,43.00,28.00,43.00,23.00,240.00,93.00,210.00,23.00,15.00,460.00,93.00,1100.00,43.00,150.00,2400.00,75.00,43.00,210.00,0.00,11.00,43.00,0.00,64.00,4.00,31.00,31.00,27.00,9.00,3.00,11.00,7.00,150.00,9.00,4.00,75.00,3.00,1100.00,33.00,2400.00,16.00,15.00,,,,,,,
Coliformes Fecales,0.00,190.00,0.00,0.00,0.00,43.00,93.00,4.00,23.00,14.00,5.00,15.00,21.00,0.00,460.00,6.00,4.00,15.00,9.00,28.00,9.00,14.00,3.00,4.00,9.00,20.00,43.00,23.00,43.00,4.00,93.00,23.00,9.00,43.00,93.00,460.00,9.00,43.00,93.00,43.00,23.00,150.00,0.00,11.00,23.00,0.00,39.00,4.00,9.00,0.00,3.00,4.00,3.00,0.00,4.00,21.00,0.00,0.00,20.00,0.00,33.00,7.00,39.00,4.00,9.00,,,,,,,
Nitrogeno Amoniacal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,