Año,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,,,
Fecha,28/01/05,12/04/05,23/07/05,14/10/05,12/01/06,24/04/06,05/07/06,31/08/06,18/01/07,04/05/07,02/08/07,07/12/07,07/02/08,21/04/08,04/08/08,13/10/08,16/02/09,11/05/09,17/08/09,09/11/09,01/03/10,17/05/10,09/08/10,16/11/10,21/02/11,23/05/11,05/09/11,28/11/11,27/02/12,21/05/12,13/08/12,26/11/12,04/03/13,20/05/13,08/07/13,11/11/13,10/03/14,05/06/14,25/08/14,11/11/14,02/03/15,21/05/15,24/08/15,23/11/15,29/02/16,30/05/16,08/08/16,14/11/16,06/03/17,12/06/17,28/01/17,27/11/17,27/02/18,21/03/18,31/07/18,12/11/18,25/02/19,20/05/19,19/08/19,19/11/19,09/03/20,25/05/20,24/08/20,23/11/20,01/03/21,,,
pH    In situ,7.60,7.04,7.80,7.21,7.85,6.68,6.84,6.25,6.85,6.68,6.35,7.07,6.79,6.76,7.80,7.10,6.80,7.30,7.30,6.50,7.52,7.00,7.00,7.00,7.00,7.00,7.00,7.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
Temperatura del Agua ,13.50,19.00,16.80,14.70,12.30,16.00,16.50,16.40,11.90,18.00,15.00,16.00,17.00,22.00,18.50,16.00,13.00,20.00,19.00,15.00,17.00,19.00,18.00,17.00,16.00,17.00,16.00,11.00,15.00,16.00,17.00,17.00,11.00,21.00,16.00,14.00,14.00,13.00,19.00,13.00,13.00,16.00,18.00,14.00,15.00,17.00,17.00,16.00,17.00,17.00,16.00,12.00,16.00,14.00,17.00,17.00,16.00,20.00,17.00,8.00,16.00,15.00,16.00,15.00,19.00,,,
Temperatura del ambiente ,NA,NA,NA,NA,21.10,22.00,20.00,25.60,14.50,24.00,20.00,24.00,22.00,26.00,22.00,23.00,17.00,19.00,22.00,20.00,25.00,29.00,26.00,23.00,24.00,31.00,24.00,15.00,24.00,22.00,24.00,23.00,24.00,29.00,23.00,24.00,18.00,26.00,28.00,26.00,28.00,25.00,26.00,18.00,21.00,28.00,26.00,24.00,26.00,26.00,26.00,18.00,28.00,25.00,27.00,26.00,22.00,30.00,26.00,18.00,24.00,22.00,24.00,24.00,27.00,,,
Materia Flotante,ausente,NA,ausente,ausente,ausente,NA,NA,NA,NA,NA,NA,NA,ausente,NA,NA,NA,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,41.10,ausente,ausente,ausente,ausente,,,
Olor,inodoro,NA,ausente,ausente,NA,NA,NA,NA,NA,NA,NA,NA,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,,,
Cloro residual,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
Conductividad ,N/D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
pH ,7.91,7.01,7.24,7.15,7.50,7.41,7.30,6.25,7.79,6.94,7.09,7.31,7.57,7.63,7.01,6.95,6.76,7.83,7.34,7.46,7.52,7.24,7.09,6.76,6.82,7.08,7.11,6.63,7.36,7.17,7.38,7.31,7.21,7.56,7.32,7.22,7.30,7.75,7.52,7.56,7.54,7.32,7.46,7.53,7.85,7.38,7.30,7.70,7.92,7.77,7.28,7.05,7.68,7.47,7.73,7.40,7.80,7.90,7.95,7.70,7.72,7.40,8.02,7.84,7.83,,,
Turbiedad UTN,2.69,0.68,4.32,0.91,0.41,0.76,1.65,5.48,2.98,1.07,0.45,1.63,0.51,1.04,1.11,1.48,1.02,3.02,3.16,1.90,1.21,2.38,1.48,1.01,0.55,0.75,11.80,5.52,5.16,1.10,6.59,0.76,0.83,3.07,7.35,1.36,1.12,1.20,1.43,0.77,1.46,17.30,1.29,1.02,1.34,1.09,8.35,0.67,1.91,1.29,1.95,0.27,0.55,0.97,1.08,1.21,0.80,1.83,1.25,0.96,0.41,3.08,1.45,0.79,0.52,,,
Color,2.50,2.50,2.50,2.50,2.50,2.50,2.50,5.00,2.50,2.50,2.50,2.50,5.00,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,5.00,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,5.00,2.50,2.50,2.50,,,
Olor,NA,ausente,ausente,ausente,inodoro,inodoro,inodoro,Inoloro,Inoloro,Inoloro,Inoloro,Inoloro,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,,,
Conductividad (micro s/cm),495.00,321.00,29.10,26.30,51.30,33.80,24.10,35.70,28.70,33.20,27.10,33.30,31.00,37.30,29.20,24.50,86.20,36.00,31.50,22.50,30.20,34.20,26.80,314.00,33.00,36.10,30.40,36.60,37.60,39.20,29.43,35.60,38.90,42.40,31.70,32.00,38.70,39.40,32.20,35.10,39.20,101.00,35.70,96.00,38.90,95.00,29.60,37.20,39.60,45.90,32.60,37.40,38.70,68.00,39.30,39.20,42.60,43.30,33.50,36.60,41.10,48.30,33.40,38.80,39.70,,,
Solidos disueltos Totales (SDT),21.50,14.70,14.50,13.90,25.70,17.00,12.50,13.00,14.30,16.60,13.60,16.60,18.60,22.40,17.50,15.00,51.60,21.40,18.90,13.50,18.10,20.60,16.20,188.00,19.40,21.60,15.00,18.00,18.00,19.00,14.00,17.00,19.00,21.00,16.00,16.00,19.00,19.00,16.00,17.00,19.00,49.00,17.00,47.00,19.00,51.00,15.00,18.00,19.00,22.00,16.00,18.00,19.00,33.00,19.00,19.00,21.00,21.00,16.00,18.00,20.00,24.00,16.00,19.00,19.00,,,
Acidez total (como CaCO3),5.50,8.00,2.50,3.31,4.08,3.08,1.98,3.82,4.68,3.69,2.79,2.11,3.29,4.62,2.40,3.57,24.18,4.16,14.45,8.28,12.99,16.68,12.00,31.24,16.13,10.55,6.02,20.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.50,6.00,11.00,4.50,8.08,,,
Alcalinidad total (como CaCO3),2.00,20.00,5.23,22.80,17.60,19.58,17.34,13.30,16.34,16.56,38.37,20.15,16.15,20.30,15.35,14.32,39.46,16.68,14.89,12.96,16.68,18.71,12.80,65.95,14.33,19.11,14.06,18.18,8.32,19.01,16.65,19.15,18.90,18.81,13.53,22.81,20.85,20.33,13.40,14.45,20.27,41.81,23.40,38.20,19.55,23.35,13.00,19.15,23.50,21.50,17.80,11.80,23.55,21.60,17.70,14.10,25.05,24.30,19.05,20.35,19.80,26.05,22.80,21.45,27.80,,,
Cloruros (como ClNA),5.86,4.28,3.04,3.04,3.66,3.20,3.20,1.96,1.43,0.47,0.24,1.44,0.46,0.46,0.97,0.92,2.35,0.57,0.89,0.94,N/D,0.39,1.66,17.74,1.74,4.92,0.28,0.93,0.78,2.03,3.77,1.29,4.05,2.54,0.95,3.77,1.12,1.70,1.69,2.86,3.52,5.41,4.42,4.09,5.24,3.72,5.06,5.36,3.92,3.60,3.40,2.48,3.18,8.24,3.82,3.33,3.92,4.17,5.38,2.31,4.09,5.48,2.46,3.28,2.78,,,
Dureza total (como CaCO3),28.70,13.27,9.53,13.16,22.55,22.95,9.87,11.74,26.40,31.86,23.42,23.71,32.09,14.19,18.95,14.44,38.66,15.28,12.41,10.51,15.35,16.73,12.52,94.94,20.92,22.22,10.10,27.44,25.98,13.57,29.86,29.84,35.86,31.53,18.90,23.85,17.84,18.86,13.98,45.78,13.81,40.07,18.90,39.32,22.91,27.38,11.96,25.53,15.43,20.88,16.95,30.98,13.80,22.05,36.95,19.24,16.73,24.95,14.60,32.39,29.54,34.59,38.57,49.69,61.43,,,
Nitratos (como NNANO3),0.82,0.29,0.16,5.10,0.17,0.20,1.11,0.35,0.24,5.27,0.26,0.11,1.55,0.49,0.19,0.19,0.58,0.27,0.30,0.29,0.25,0.30,0.42,9.38,0.29,0.20,0.15,0.15,0.14,0.51,0.21,0.39,0.18,0.22,0.18,0.18,0.20,0.10,0.70,0.48,0.19,0.76,0.47,1.86,0.37,0.19,0.30,0.24,0.40,0.49,0.29,0.30,0.24,0.21,0.56,0.62,0.06,0.62,0.11,0.30,0.32,3.27,0.62,0.56,0.68,,,
Nitritos (como NNANO2),N/D,0.01,0.04,N/D,N/D,N/D,0.00,NA,NA,0.24,NA,NA,NA,NA,0.00,0.08,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,NA,NA,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.07,0.05,0.24,0.01,0.00,0.00,0.00,0.00,0.01,0.02,0.02,0.00,0.01,0.02,0.00,0.01,0.01,0.01,0.00,,,
Fósforo total (como PO4),NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,N/D,N/D,0.16,0.16,0.21,0.26,0.18,0.19,0.22,0.17,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.06,0.06,0.06,0.00,0.04,,,
Sulfatos (SO4),2.03,1.11,1.56,0.70,0.03,0.12,0.03,4.34,4.17,5.27,5.53,4.09,2.09,2085.00,0.61,2.27,2.52,3.34,5.95,10.69,5.07,4.21,6.47,26.62,3.79,1.84,5.09,5.09,5.71,5.38,5.54,5.50,6.67,6.21,6.72,6.26,5.62,7.88,5.95,5.79,5.63,27.65,43.89,20.21,16.72,14.99,22.29,21.49,19.33,2.74,8.49,5.41,8.32,4.87,10.52,7.93,9.44,3.44,3.24,3.46,6.58,4.15,3.04,5.69,2.83,,,
Fluor (como FNA),1.32,0.92,0.26,0.05,0.29,0.26,0.18,0.22,0.24,0.12,0.12,0.47,0.40,0.40,0.35,0.39,0.15,0.22,0.31,0.15,0.27,0.26,0.03,0.03,0.25,0.15,0.27,0.27,0.47,0.28,0.24,0.25,0.27,0.37,0.27,0.23,NA,NA,0.42,0.58,0.26,0.51,0.52,0.05,0.21,0.47,0.49,0.29,0.47,0.32,0.56,0.78,0.47,0.53,0.30,0.52,0.25,0.30,0.37,0.43,0.54,0.66,0.68,0.64,0.66,,,
Sustancias activas al Azul de metileno (Detergentes),0.00,0.00,NA,0.00,0.09,NA,NA,N/D,0.03,NA,NA,0.60,0.40,0.37,0.28,NA,0.12,0.13,0.12,0.10,0.12,0.14,0.10,0.15,NA,NA,0.15,0.15,0.14,0.13,0.14,0.14,0.12,0.12,0.10,0.10,NA,NA,0.17,0.15,0.14,0.14,0.11,0.14,0.08,0.09,0.13,0.13,0.13,0.14,0.09,0.12,8.32,0.13,0.11,0.15,0.52,0.36,NA,0.28,NA,NA,NA,0.29,NA,,,
Fenol como compuestos fenólicos,N/D,NA,NA,0.01,0.03,NA,NA,N/D,0.03,NA,0.03,N/D,0.02,0.02,0.05,0.03,0.05,0.03,0.04,0.02,0.04,0.05,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,0.12,0.11,0.24,0.03,0.03,,,
Cadmio,N/D,NA,NA,N/D,N/D,N/D,NA,NA,NA,NA,NA,NA,NA,0.01,NA,0.03,0.03,NA,N/D,0.03,N/D,NA,N/D,N/D,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,NA,0.00,0.00,NA,NA,NA,0.00,,,
Aluminio,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
Plomo,N/D,NA,NA,N/D,0.00,N/D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/D,0.10,NA,NA,N/D,N/D,0.01,0.01,N/D,N/D,0.01,0.02,NA,0.01,0.01,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,NA,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.05,0.01,0.05,0.03,0.04,0.01,0.01,0.01,,,
